file,start_well,goal_well,path_length,path_dim_x,path_dim_y,path_dim_z,endpoints_dim_x,endpoints_dim_y,endpoints_dim_z,diff_dim_x,diff_dim_y,diff_dim_z
v2.5_1412.h5,0,2,11.0,3,3,5,3,3,5,0,0,0
v2.5_1412.h5,0,5,17.0,8,6,3,8,6,3,0,0,0
v2.5_1412.h5,0,4,11.0,7,3,1,7,3,1,0,0,0
v2.5_1412.h5,0,3,21.0,6,10,3,5,10,2,1,0,1
v2.5_1412.h5,1,9,25.0,12,8,5,12,8,5,0,0,0
v2.5_1412.h5,1,5,42.0,7,23,6,6,23,3,1,0,3
v2.5_1412.h5,1,7,21.0,9,7,3,9,7,3,0,0,0
v2.5_1412.h5,1,8,27.0,11,6,5,11,4,2,0,2,3
v2.5_1412.h5,2,5,12.0,5,4,2,5,3,2,0,1,0
v2.5_1412.h5,2,0,11.0,3,3,5,3,3,5,0,0,0
v2.5_1412.h5,2,4,10.0,4,1,4,4,0,4,0,1,0
v2.5_1412.h5,2,3,16.0,3,8,3,2,7,3,1,1,0
v2.5_1412.h5,3,5,8.0,3,4,1,3,4,1,0,0,0
v2.5_1412.h5,3,2,16.0,3,8,3,2,7,3,1,1,0
v2.5_1412.h5,3,4,12.0,2,7,2,2,7,1,0,0,1
v2.5_1412.h5,3,8,33.0,8,15,4,8,15,2,0,0,2
v2.5_1412.h5,4,5,6.0,1,3,2,1,3,2,0,0,0
v2.5_1412.h5,4,2,10.0,4,1,4,4,0,4,0,1,0
v2.5_1412.h5,4,3,12.0,2,7,2,2,7,1,0,0,1
v2.5_1412.h5,4,10,53.0,14,24,3,12,18,1,2,6,2
v2.5_1412.h5,5,2,12.0,5,4,2,5,3,2,0,1,0
v2.5_1412.h5,5,0,17.0,8,6,3,8,6,3,0,0,0
v2.5_1412.h5,5,4,6.0,1,3,2,1,3,2,0,0,0
v2.5_1412.h5,5,3,8.0,3,4,1,3,4,1,0,0,0
v2.5_1412.h5,6,0,22.0,9,10,1,9,9,0,0,1,1
v2.5_1412.h5,6,2,33.0,9,13,6,6,12,5,3,1,1
v2.5_1412.h5,6,4,33.0,9,13,2,2,12,1,7,1,1
v2.5_1412.h5,6,3,43.0,9,20,4,4,19,2,5,1,2
v2.5_1412.h5,7,1,21.0,9,7,3,9,7,3,0,0,0
v2.5_1412.h5,7,9,22.0,3,15,2,3,15,2,0,0,0
v2.5_1412.h5,7,8,18.0,3,11,2,2,11,1,1,0,1
v2.5_1412.h5,7,10,26.0,8,15,3,8,15,3,0,0,0
v2.5_1412.h5,8,9,8.0,1,4,3,1,4,3,0,0,0
v2.5_1412.h5,8,1,27.0,11,6,5,11,4,2,0,2,3
v2.5_1412.h5,8,10,14.0,6,4,4,6,4,4,0,0,0
v2.5_1412.h5,8,7,18.0,3,11,2,2,11,1,1,0,1
v2.5_1412.h5,9,1,25.0,12,8,5,12,8,5,0,0,0
v2.5_1412.h5,9,5,43.0,9,21,2,6,15,2,3,6,0
v2.5_1412.h5,9,8,8.0,1,4,3,1,4,3,0,0,0
