run_id,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
14,74,v2.5_0111,run0014_iter0050,v2.5_cmaes_20260420_74_run0014,183923887833088.0,189169250861056.0,5245363027968.0,396841920.0,405034208.0,8192288.0
14,76,v2.5_1203,run0014_iter0050,v2.5_cmaes_20260420_76_run0014,187773017391104.0,190526913511424.0,2753896120320.0,412449152.0,408969920.0,3479232.0
14,73,v2.5_1428,run0014_iter0050,v2.5_cmaes_20260420_73_run0014,183832082907136.0,181999440494592.0,1832642412544.0,399098944.0,388267680.0,10831264.0
29,74,v2.5_0111,run0029_iter0050,v2.5_cmaes_20260420_74_run0029,183382403186688.0,164741506924544.0,18640896262144.0,397876672.0,343022048.0,54854624.0
29,76,v2.5_1203,run0029_iter0050,v2.5_cmaes_20260420_76_run0029,183847954153472.0,185981177167872.0,2133223014400.0,404219584.0,389609280.0,14610304.0
29,73,v2.5_1428,run0029_iter0050,v2.5_cmaes_20260420_73_run0029,184052938178560.0,167133015179264.0,16919922999296.0,399871360.0,343974144.0,55897216.0
44,74,v2.5_0111,run0044_iter0050,v2.5_cmaes_20260420_74_run0044,180345072779264.0,199818739712000.0,19473666932736.0,394678720.0,444880320.0,50201600.0
44,76,v2.5_1203,run0044_iter0050,v2.5_cmaes_20260420_76_run0044,182827228332032.0,193325453803520.0,10498225471488.0,397075680.0,424282336.0,27206656.0
44,73,v2.5_1428,run0044_iter0050,v2.5_cmaes_20260420_73_run0044,183392066863104.0,196649473277952.0,13257406414848.0,397374880.0,436699424.0,39324544.0
59,74,v2.5_0111,run0059_iter0050,v2.5_cmaes_20260420_74_run0059,185528594989056.0,192881243455488.0,7352648466432.0,404720992.0,426072608.0,21351616.0
59,76,v2.5_1203,run0059_iter0050,v2.5_cmaes_20260420_76_run0059,184180042366976.0,191771749384192.0,7591707017216.0,406840320.0,422195072.0,15354752.0
59,73,v2.5_1428,run0059_iter0050,v2.5_cmaes_20260420_73_run0059,186050567733248.0,188167684620288.0,2117116887040.0,405812224.0,416289888.0,10477664.0
74,74,v2.5_0111,run0074_iter0050,v2.5_cmaes_20260420_74_run0074,182790352011264.0,195458324496384.0,12667972485120.0,395946560.0,453953984.0,58007424.0
74,76,v2.5_1203,run0074_iter0050,v2.5_cmaes_20260420_76_run0074,188457695576064.0,195661379141632.0,7203683565568.0,410786496.0,449350432.0,38563936.0
74,73,v2.5_1428,run0074_iter0050,v2.5_cmaes_20260420_73_run0074,185954065186816.0,200283149828096.0,14329084641280.0,400621120.0,459451200.0,58830080.0
89,74,v2.5_0111,run0089_iter0050,v2.5_cmaes_20260420_74_run0089,182889119481856.0,184850443141120.0,1961323659264.0,399243840.0,423270688.0,24026848.0
89,76,v2.5_1203,run0089_iter0050,v2.5_cmaes_20260420_76_run0089,183576549130240.0,195052852740096.0,11476303609856.0,398155008.0,439795808.0,41640800.0
