run_id,iteration,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
0,0,74,v2.5_0111,run0000_iter0000,v2.5_cmaes_20260427_130344_74_run0000_iter0000,183222734422016.0,190536040316928.0,7313305894912.0,396602176.0,405428000.0,8825824.0
0,0,76,v2.5_1203,run0000_iter0000,v2.5_cmaes_20260427_130344_76_run0000_iter0000,180922393559040.0,189081657016320.0,8159263457280.0,398024064.0,399591520.0,1567456.0
0,0,73,v2.5_1428,run0000_iter0000,v2.5_cmaes_20260427_130344_73_run0000_iter0000,181275285520384.0,185606273499136.0,4330987978752.0,391074880.0,391387008.0,312128.0
1,0,74,v2.5_0111,run0001_iter0000,v2.5_cmaes_20260427_130344_74_run0001_iter0000,179843048144896.0,163790926643200.0,16052121501696.0,391804544.0,327837472.0,63967072.0
1,0,76,v2.5_1203,run0001_iter0000,v2.5_cmaes_20260427_130344_76_run0001_iter0000,179747367682048.0,172527091449856.0,7220276232192.0,390581408.0,341069088.0,49512320.0
1,0,73,v2.5_1428,run0001_iter0000,v2.5_cmaes_20260427_130344_73_run0001_iter0000,179923343900672.0,172105362571264.0,7817981329408.0,384715296.0,337140640.0,47574656.0
0,10,74,v2.5_0111,run0000_iter0010,v2.5_cmaes_20260427_130344_74_run0000_iter0010,185120891863040.0,179841605304320.0,5279286558720.0,402287072.0,377323424.0,24963648.0
0,10,76,v2.5_1203,run0000_iter0010,v2.5_cmaes_20260427_130344_76_run0000_iter0010,183630856978432.0,182659389063168.0,971467915264.0,405888512.0,369692448.0,36196064.0
0,10,73,v2.5_1428,run0000_iter0010,v2.5_cmaes_20260427_130344_73_run0000_iter0010,183700817969152.0,168578724659200.0,15122093309952.0,398254208.0,343395744.0,54858464.0
1,10,74,v2.5_0111,run0001_iter0010,v2.5_cmaes_20260427_130344_74_run0001_iter0010,181191986642944.0,188884843495424.0,7692856852480.0,396381856.0,390825216.0,5556640.0
1,10,76,v2.5_1203,run0001_iter0010,v2.5_cmaes_20260427_130344_76_run0001_iter0010,181073640161280.0,187883294031872.0,6809653870592.0,395302912.0,388225472.0,7077440.0
1,10,73,v2.5_1428,run0001_iter0010,v2.5_cmaes_20260427_130344_73_run0001_iter0010,181826769387520.0,187374021640192.0,5547252252672.0,390905856.0,385490912.0,5414944.0
0,20,74,v2.5_0111,run0000_iter0020,v2.5_cmaes_20260427_130344_74_run0000_iter0020,186003021103104.0,176121962299392.0,9881058803712.0,404843424.0,352220192.0,52623232.0
0,20,76,v2.5_1203,run0000_iter0020,v2.5_cmaes_20260427_130344_76_run0000_iter0020,184458493820928.0,173608315912192.0,10850177908736.0,408226560.0,350527328.0,57699232.0
0,20,73,v2.5_1428,run0000_iter0020,v2.5_cmaes_20260427_130344_73_run0000_iter0020,184549308891136.0,175639080468480.0,8910228422656.0,400887552.0,351084896.0,49802656.0
1,20,74,v2.5_0111,run0001_iter0020,v2.5_cmaes_20260427_130344_74_run0001_iter0020,181786504069120.0,200337625448448.0,18551121379328.0,398451488.0,442869472.0,44417984.0
1,20,76,v2.5_1203,run0001_iter0020,v2.5_cmaes_20260427_130344_76_run0001_iter0020,181238258204672.0,196405851324416.0,15167593119744.0,396546496.0,428602176.0,32055680.0
1,20,73,v2.5_1428,run0001_iter0020,v2.5_cmaes_20260427_130344_73_run0001_iter0020,182889488580608.0,197008254042112.0,14118765461504.0,393866592.0,429431264.0,35564672.0
0,30,74,v2.5_0111,run0000_iter0030,v2.5_cmaes_20260427_130344_74_run0000_iter0030,186499609919488.0,153635023486976.0,32864586432512.0,406144896.0,314764128.0,91380768.0
0,30,76,v2.5_1203,run0000_iter0030,v2.5_cmaes_20260427_130344_76_run0000_iter0030,185118140399616.0,149692847489024.0,35425292910592.0,409251968.0,316740160.0,92511808.0
0,30,73,v2.5_1428,run0000_iter0030,v2.5_cmaes_20260427_130344_73_run0000_iter0030,185038196965376.0,149385539223552.0,35652657741824.0,402551936.0,304419936.0,98132000.0
1,30,74,v2.5_0111,run0001_iter0030,v2.5_cmaes_20260427_130344_74_run0001_iter0030,181975935614976.0,188101448171520.0,6125512556544.0,399291424.0,411698976.0,12407552.0
1,30,76,v2.5_1203,run0001_iter0030,v2.5_cmaes_20260427_130344_76_run0001_iter0030,181461244182528.0,195889817714688.0,14428573532160.0,397082688.0,432201056.0,35118368.0
1,30,73,v2.5_1428,run0001_iter0030,v2.5_cmaes_20260427_130344_73_run0001_iter0030,183541618966528.0,185728327745536.0,2186708779008.0,395506048.0,408483008.0,12976960.0
0,40,74,v2.5_0111,run0000_iter0040,v2.5_cmaes_20260427_130344_74_run0000_iter0040,186862014562304.0,167824102260736.0,19037912301568.0,406609312.0,367520800.0,39088512.0
0,40,76,v2.5_1203,run0000_iter0040,v2.5_cmaes_20260427_130344_76_run0000_iter0040,185567769788416.0,180606143037440.0,4961626750976.0,410207712.0,395832256.0,14375456.0
0,40,73,v2.5_1428,run0000_iter0040,v2.5_cmaes_20260427_130344_73_run0000_iter0040,185476099080192.0,169390339260416.0,16085759819776.0,403513056.0,371410848.0,32102208.0
1,40,74,v2.5_0111,run0001_iter0040,v2.5_cmaes_20260427_130344_74_run0001_iter0040,181889834942464.0,195090853134336.0,13201018191872.0,399617216.0,435306880.0,35689664.0
1,40,76,v2.5_1203,run0001_iter0040,v2.5_cmaes_20260427_130344_76_run0001_iter0040,181261578534912.0,195989054947328.0,14727476412416.0,396853120.0,434502592.0,37649472.0
1,40,73,v2.5_1428,run0001_iter0040,v2.5_cmaes_20260427_130344_73_run0001_iter0040,183797421178880.0,195308067749888.0,11510646571008.0,396871584.0,430276224.0,33404640.0
0,50,74,v2.5_0111,run0000_iter0050,v2.5_cmaes_20260427_130344_74_run0000_iter0050,186959154642944.0,166803946864640.0,20155207778304.0,406887520.0,374338304.0,32549216.0
0,50,76,v2.5_1203,run0000_iter0050,v2.5_cmaes_20260427_130344_76_run0000_iter0050,185823286788096.0,157923313451008.0,27899973337088.0,410636896.0,355523168.0,55113728.0
0,50,73,v2.5_1428,run0000_iter0050,v2.5_cmaes_20260427_130344_73_run0000_iter0050,185666470150144.0,160957623959552.0,24708846190592.0,403825536.0,358676032.0,45149504.0
1,50,74,v2.5_0111,run0001_iter0050,v2.5_cmaes_20260427_130344_74_run0001_iter0050,181905857183744.0,176824508219392.0,5081348964352.0,400090112.0,391278528.0,8811584.0
1,50,76,v2.5_1203,run0001_iter0050,v2.5_cmaes_20260427_130344_76_run0001_iter0050,181256276934656.0,192797088940032.0,11540812005376.0,397099808.0,418238912.0,21139104.0
1,50,73,v2.5_1428,run0001_iter0050,v2.5_cmaes_20260427_130344_73_run0001_iter0050,183923518734336.0,181122428305408.0,2801090428928.0,397726528.0,395332544.0,2393984.0
2,0,74,v2.5_0111,run0002_iter0000,v2.5_cmaes_20260427_130344_74_run0002_iter0000,174368760004608.0,174991328935936.0,622568931328.0,374631712.0,362024704.0,12607008.0
2,0,76,v2.5_1203,run0002_iter0000,v2.5_cmaes_20260427_130344_76_run0002_iter0000,174919908327424.0,173391352954880.0,1528555372544.0,369455712.0,357345248.0,12110464.0
2,0,73,v2.5_1428,run0002_iter0000,v2.5_cmaes_20260427_130344_73_run0002_iter0000,168550790594560.0,170421030748160.0,1870240153600.0,354629632.0,348941952.0,5687680.0
