case_id,actual,pred_withheld_model,pred_baseline_model,err_pct_withheld,err_pct_baseline
v2.5_0001,188717624983552.0,174250178641920.0,188310156738560.0,7.666187163436873,0.21591425020716193
v2.5_0003,184911998746624.0,171171727278080.0,184768821985280.0,7.430708424374144,0.07742967590772096
v2.5_0007,191491955752960.0,176865780170752.0,188965239914496.0,7.638010445241335,1.3194892853481879
v2.5_0009,186076001992704.0,170995314851840.0,185632412401664.0,8.104584674737,0.23839161755925573
v2.5_0010,186310597804032.0,171820720324608.0,186952577974272.0,7.777269597226541,0.34457522964703124
v2.5_0011,181435491155968.0,155409197301760.0,179330487418880.0,14.344654228557152,1.1601940302178633
v2.5_0013,190804509327360.0,170305653833728.0,174768628170752.0,10.743381047909338,8.404351245753586
v2.5_0014,189436713238528.0,177935445131264.0,189159637516288.0,6.071298382791436,0.14626294845557308
v2.5_0015,188350271062016.0,174502591856640.0,188340187955200.0,7.352088811603849,0.0053533805707558805
v2.5_0033,185879222026240.0,172377925222400.0,171843772219392.0,7.263478218094792,7.550843851103842
v2.5_0041,187308204621824.0,168991326732288.0,186799284551680.0,9.779004569777308,0.271701963708163
v2.5_0043,185052642148352.0,171223501766656.0,182208887259136.0,7.473084534837135,1.5367275258551747
v2.5_0044,185127132987392.0,167636499431424.0,173314026766336.0,9.447903866776347,6.381077711531635
v2.5_0045,187071075450880.0,169259711856640.0,176962484043776.0,9.521174532893943,5.40361003577929
v2.5_0069,186429380493312.0,177136497328128.0,185678952398848.0,4.984666655327632,0.4025267328992283
v2.5_0075,189074241486848.0,179480005967872.0,180473217155072.0,5.074321834390845,4.549019614802626
v2.5_0108,188158490705920.0,179146944675840.0,188113661984768.0,4.7893379651755845,0.02382497913531019
v2.5_0109,184197004132352.0,178817792475136.0,183817855827968.0,2.9203578432528947,0.20583847504466937
v2.5_0117,180846375993344.0,176700675588096.0,180496269049856.0,2.292387880308191,0.19359356335726935
v2.5_0226,181273423249408.0,175419366047744.0,180183273308160.0,3.2294073211215304,0.6013843186202201
v2.5_0230,181326338588672.0,175158497116160.0,181020456386560.0,3.40151437486607,0.1686915450302427
v2.5_0233,182718075764736.0,167025892655104.0,177288230469632.0,8.588194158653973,2.9717066975329556
v2.5_0234,179859657588736.0,173174205448192.0,180375103995904.0,3.7170381786397257,0.28658255779993247
v2.5_0236,183066169442304.0,175097360941056.0,183372152307712.0,4.352966211902679,0.1671433156328947
v2.5_0249,185641690202112.0,175056021880832.0,185045797044224.0,5.702204235349916,0.3209910215960858
v2.5_0250,181555330809856.0,167297884880896.0,182374444826624.0,7.852948115245324,0.45116494961299874
v2.5_0254,183572505821184.0,176640764149760.0,183164752363520.0,3.776023887899713,0.22212120264958865
v2.5_0256,183065783566336.0,171761597415424.0,178537176760320.0,6.174931180853792,2.473759278109449
v2.5_0264,182693581029376.0,172714778165248.0,182715911503872.0,5.462043498136627,0.012222911374433782
v2.5_0294,181896378056704.0,170305502838784.0,182257507631104.0,6.372240800917258,0.19853587974545717
v2.5_0316,181381082644480.0,175040687505408.0,180876860194816.0,3.4956209581677444,0.2779906494726974
