Num,Scenario,WellConfig,filename
1,76,OPT_0001_01,v2.4_0001.h5
2,76,OPT_0001_02,v2.4_0002.h5
3,75,OPT_0001_01,v2.4_0003.h5
4,75,OPT_0001_02,v2.4_0004.h5
5,74,OPT_0001_02,v2.4_0005.h5
6,73,OPT_0001_02,v2.4_0006.h5
7,72,OPT_0001_01,v2.4_0007.h5
8,77,OPT_0001_02,v2.4_0008.h5
9,73,OPT_0001_01,v2.4_0009.h5
10,71,OPT_0001_01,v2.4_0010.h5
11,77,OPT_0001_01,v2.4_0011.h5
12,79,OPT_0001_01,v2.4_0012.h5
13,78,OPT_0001_01,v2.4_0013.h5
14,74,OPT_0001_01,v2.4_0014.h5
15,80,OPT_0001_01,v2.4_0015.h5
16,82,OPT_0001_02,v2.4_0016.h5
17,83,OPT_0001_03,v2.4_0017.h5
18,84,OPT_0001_03,v2.4_0018.h5
19,81,OPT_0001_03,v2.4_0019.h5
20,73,OPT_0001_04,v2.4_0020.h5
21,80,OPT_0001_03,v2.4_0021.h5
22,71,OPT_0001_04,v2.4_0022.h5
23,71,OPT_0001_03,v2.4_0023.h5
24,82,OPT_0001_03,v2.4_0024.h5
25,76,OPT_0001_04,v2.4_0025.h5
26,72,OPT_0001_04,v2.4_0026.h5
27,75,OPT_0001_04,v2.4_0027.h5
28,79,OPT_0001_03,v2.4_0028.h5
29,74,OPT_0001_04,v2.4_0029.h5
30,81,OPT_0001_02,v2.4_0030.h5
31,72,OPT_0001_03,v2.4_0031.h5
32,80,OPT_0001_02,v2.4_0032.h5
33,82,OPT_0001_01,v2.4_0033.h5
34,85,OPT_0001_03,v2.4_0034.h5
35,83,OPT_0001_02,v2.4_0035.h5
36,85,OPT_0001_02,v2.4_0036.h5
37,84,OPT_0001_02,v2.4_0037.h5
38,72,OPT_0001_02,v2.4_0038.h5
39,78,OPT_0001_02,v2.4_0039.h5
40,71,OPT_0001_02,v2.4_0040.h5
41,81,OPT_0001_01,v2.4_0041.h5
42,79,OPT_0001_02,v2.4_0042.h5
43,83,OPT_0001_01,v2.4_0043.h5
44,85,OPT_0001_01,v2.4_0044.h5
45,84,OPT_0001_01,v2.4_0045.h5
46,79,OPT_0001_04,v2.4_0046.h5
47,78,OPT_0001_05,v2.4_0047.h5
48,77,OPT_0001_05,v2.4_0048.h5
49,78,OPT_0001_04,v2.4_0049.h5
50,75,OPT_0001_05,v2.4_0050.h5
51,76,OPT_0001_05,v2.4_0051.h5
52,74,OPT_0001_03,v2.4_0052.h5
53,73,OPT_0001_05,v2.4_0053.h5
54,74,OPT_0001_05,v2.4_0054.h5
55,75,OPT_0001_03,v2.4_0055.h5
56,77,OPT_0001_04,v2.4_0056.h5
57,79,OPT_0001_05,v2.4_0057.h5
58,77,OPT_0001_03,v2.4_0058.h5
59,76,OPT_0001_03,v2.4_0059.h5
60,78,OPT_0001_03,v2.4_0060.h5
61,73,OPT_0001_03,v2.4_0061.h5
62,73,OPT_0001_06,v2.4_0062.h5
63,85,OPT_0001_05,v2.4_0063.h5
64,71,OPT_0001_06,v2.4_0064.h5
65,72,OPT_0001_06,v2.4_0065.h5
66,82,OPT_0001_05,v2.4_0066.h5
67,74,OPT_0001_06,v2.4_0067.h5
68,78,OPT_0001_08,v2.4_0068.h5
69,81,OPT_0001_08,v2.4_0069.h5
70,82,OPT_0001_04,v2.4_0070.h5
71,81,OPT_0001_05,v2.4_0071.h5
72,75,OPT_0001_06,v2.4_0072.h5
73,80,OPT_0001_08,v2.4_0073.h5
74,76,OPT_0001_06,v2.4_0074.h5
75,76,OPT_0001_08,v2.4_0075.h5
76,79,OPT_0001_08,v2.4_0076.h5
77,80,OPT_0001_05,v2.4_0077.h5
78,71,OPT_0001_05,v2.4_0078.h5
79,77,OPT_0001_08,v2.4_0079.h5
80,81,OPT_0001_04,v2.4_0080.h5
81,83,OPT_0001_05,v2.4_0081.h5
82,85,OPT_0001_04,v2.4_0082.h5
83,80,OPT_0001_04,v2.4_0083.h5
84,84,OPT_0001_05,v2.4_0084.h5
85,83,OPT_0001_04,v2.4_0085.h5
86,84,OPT_0001_04,v2.4_0086.h5
87,75,OPT_0001_07,v2.4_0087.h5
88,80,OPT_0001_07,v2.4_0088.h5
89,72,OPT_0001_05,v2.4_0089.h5
90,79,OPT_0001_07,v2.4_0090.h5
91,81,OPT_0001_06,v2.4_0091.h5
92,76,OPT_0001_07,v2.4_0092.h5
93,78,OPT_0001_07,v2.4_0093.h5
94,71,OPT_0001_07,v2.4_0094.h5
95,81,OPT_0001_07,v2.4_0095.h5
96,83,OPT_0001_06,v2.4_0096.h5
97,79,OPT_0001_06,v2.4_0097.h5
98,85,OPT_0001_06,v2.4_0098.h5
99,82,OPT_0001_06,v2.4_0099.h5
100,84,OPT_0001_06,v2.4_0100.h5
101,74,OPT_0001_07,v2.4_0101.h5
102,80,OPT_0001_06,v2.4_0102.h5
103,77,OPT_0001_07,v2.4_0103.h5
104,72,OPT_0001_07,v2.4_0104.h5
105,73,OPT_0001_07,v2.4_0105.h5
106,78,OPT_0001_06,v2.4_0106.h5
107,77,OPT_0001_06,v2.4_0107.h5
108,71,OPT_0001_08,v2.4_0108.h5
109,75,OPT_0001_08,v2.4_0109.h5
110,83,OPT_0001_07,v2.4_0110.h5
111,74,OPT_0001_08,v2.4_0111.h5
112,85,OPT_0001_07,v2.4_0112.h5
113,84,OPT_0001_07,v2.4_0113.h5
114,73,OPT_0001_08,v2.4_0114.h5
115,84,OPT_0001_08,v2.4_0115.h5
116,82,OPT_0001_08,v2.4_0116.h5
117,72,OPT_0001_08,v2.4_0117.h5
118,82,OPT_0001_07,v2.4_0118.h5
119,83,OPT_0001_08,v2.4_0119.h5
120,85,OPT_0001_08,v2.4_0120.h5
121,76,OPT_0001_09,v2.4_0121.h5
122,72,OPT_0001_09,v2.4_0122.h5
123,80,OPT_0001_09,v2.4_0123.h5
124,71,OPT_0001_09,v2.4_0124.h5
125,81,OPT_0001_09,v2.4_0125.h5
126,83,OPT_0001_09,v2.4_0126.h5
127,78,OPT_0001_09,v2.4_0127.h5
128,74,OPT_0001_09,v2.4_0128.h5
129,71,OPT_0001_10,v2.4_0129.h5
130,84,OPT_0001_09,v2.4_0130.h5
131,74,OPT_0001_10,v2.4_0131.h5
132,82,OPT_0001_09,v2.4_0132.h5
133,72,OPT_0001_10,v2.4_0133.h5
134,85,OPT_0001_09,v2.4_0134.h5
135,73,OPT_0001_10,v2.4_0135.h5
136,75,OPT_0001_09,v2.4_0136.h5
137,79,OPT_0001_09,v2.4_0137.h5
138,73,OPT_0001_09,v2.4_0138.h5
139,77,OPT_0001_09,v2.4_0139.h5
140,76,OPT_0001_10,v2.4_0140.h5
141,75,OPT_0001_10,v2.4_0141.h5
143,78,OPT_0001_10,v2.4_0143.h5
144,82,OPT_0001_10,v2.4_0144.h5
145,77,OPT_0001_10,v2.4_0145.h5
146,84,OPT_0001_10,v2.4_0146.h5
147,83,OPT_0001_10,v2.4_0147.h5
148,81,OPT_0001_10,v2.4_0148.h5
149,79,OPT_0001_10,v2.4_0149.h5
150,85,OPT_0001_10,v2.4_0150.h5
151,71,OPT_0002_01,v2.4_0151.h5
152,73,OPT_0002_01,v2.4_0152.h5
153,72,OPT_0002_01,v2.4_0153.h5
154,76,OPT_0002_02,v2.4_0154.h5
155,71,OPT_0002_02,v2.4_0155.h5
156,82,OPT_0002_02,v2.4_0156.h5
157,75,OPT_0002_02,v2.4_0157.h5
158,75,OPT_0002_03,v2.4_0158.h5
159,81,OPT_0002_02,v2.4_0159.h5
160,79,OPT_0002_03,v2.4_0160.h5
161,75,OPT_0002_01,v2.4_0161.h5
162,72,OPT_0002_02,v2.4_0162.h5
163,77,OPT_0002_02,v2.4_0163.h5
164,80,OPT_0002_02,v2.4_0164.h5
165,82,OPT_0002_01,v2.4_0165.h5
166,73,OPT_0002_02,v2.4_0166.h5
167,76,OPT_0002_01,v2.4_0167.h5
168,79,OPT_0002_02,v2.4_0168.h5
169,76,OPT_0002_03,v2.4_0169.h5
170,83,OPT_0002_02,v2.4_0170.h5
171,79,OPT_0002_01,v2.4_0171.h5
