epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.33773377537727356,0.6825863122940063
0,116,0.3613285720348358,0.710302472114563,,
1,233,,,0.23815765976905823,0.5458062291145325
1,233,0.24110420048236847,0.554042637348175,,
2,350,,,0.18876244127750397,0.481951504945755
2,350,0.1671595424413681,0.44912582635879517,,
3,467,,,0.15440483391284943,0.4265725910663605
3,467,0.12188099324703217,0.3743824362754822,,
4,584,,,0.14824873208999634,0.4250006675720215
4,584,0.0913596898317337,0.32032832503318787,,
5,701,,,0.1289239227771759,0.39364874362945557
5,701,0.06840943545103073,0.26882120966911316,,
6,818,,,0.10633065551519394,0.3498435318470001
6,818,0.05262662470340729,0.23207442462444305,,
7,935,,,0.10545843839645386,0.34615591168403625
7,935,0.04335542768239975,0.2108328938484192,,
8,1052,,,0.1026516780257225,0.341335654258728
8,1052,0.033376093953847885,0.18194541335105896,,
9,1169,,,0.10354521125555038,0.3373769223690033
9,1169,0.0265018492937088,0.1606937050819397,,
10,1286,,,0.09772439301013947,0.3297596573829651
10,1286,0.023903192952275276,0.15518434345722198,,
11,1403,,,0.09016373008489609,0.3124532699584961
11,1403,0.02049926482141018,0.1390039324760437,,
12,1520,,,0.0900554284453392,0.3195423185825348
12,1520,0.015390511602163315,0.11689399927854538,,
13,1637,,,0.08819834142923355,0.3117244839668274
13,1637,0.013519289903342724,0.1110781878232956,,
14,1754,,,0.0858687087893486,0.3086976706981659
14,1754,0.013111736625432968,0.1098003163933754,,
15,1871,,,0.08612224459648132,0.3086157739162445
15,1871,0.010418473742902279,0.09701582789421082,,
16,1988,,,0.08330968767404556,0.3049715757369995
16,1988,0.009137848392128944,0.0919107124209404,,
17,2105,,,0.08303197473287582,0.300698459148407
17,2105,0.008160094730556011,0.08509644865989685,,
18,2222,,,0.08458220958709717,0.3085380792617798
18,2222,0.007201274391263723,0.08039344847202301,,
19,2339,,,0.08790124952793121,0.3157178461551666
19,2339,0.007284135557711124,0.08096235245466232,,
20,2456,,,0.08121996372938156,0.3055304288864136
20,2456,0.008552375249564648,0.09248515963554382,,
21,2573,,,0.07836294174194336,0.29870179295539856
21,2573,0.007789241150021553,0.08657316863536835,,
22,2690,,,0.07868023961782455,0.2991858720779419
22,2690,0.006755282636731863,0.08191686868667603,,
23,2807,,,0.08704567700624466,0.31345853209495544
23,2807,0.0054023852571845055,0.07076592743396759,,
24,2924,,,0.07895226031541824,0.30129027366638184
24,2924,0.004513429943472147,0.06310379505157471,,
25,3041,,,0.08302830159664154,0.304688423871994
25,3041,0.004682036582380533,0.0651571974158287,,
26,3158,,,0.08507602661848068,0.3185691237449646
26,3158,0.004981040023267269,0.06825531274080276,,
27,3275,,,0.07811557501554489,0.2996314465999603
27,3275,0.0041706678457558155,0.06176915019750595,,
28,3392,,,0.07806096971035004,0.3009786009788513
28,3392,0.0036648681852966547,0.05739988759160042,,
29,3509,,,0.09955500066280365,0.3433850407600403
29,3509,0.004991963040083647,0.07023227214813232,,
30,3626,,,0.07780823111534119,0.2997748553752899
30,3626,0.004327829927206039,0.06359313428401947,,
31,3743,,,0.07880143821239471,0.3039200007915497
31,3743,0.004575927741825581,0.06631042063236237,,
32,3860,,,0.0784778967499733,0.3028810918331146
32,3860,0.004639155697077513,0.0690724328160286,,
33,3977,,,0.08196912705898285,0.309185653924942
33,3977,0.0048481798730790615,0.07090707123279572,,
34,4094,,,0.07438909262418747,0.2891542911529541
34,4094,0.0036604462657123804,0.059901054948568344,,
35,4211,,,0.07269534468650818,0.2870444357395172
35,4211,0.0031260314863175154,0.05427238345146179,,
36,4328,,,0.07640326023101807,0.2924887537956238
36,4328,0.002765875542536378,0.05065581202507019,,
37,4445,,,0.07627420872449875,0.29725921154022217
37,4445,0.0031834100373089314,0.056189894676208496,,
38,4562,,,0.07737553864717484,0.2991766035556793
38,4562,0.0033845764119178057,0.05764880031347275,,
39,4679,,,0.07617047429084778,0.29776695370674133
39,4679,0.004081545397639275,0.06471890211105347,,
40,4796,,,0.07468529790639877,0.29166948795318604
40,4796,0.0036374875344336033,0.060407884418964386,,
41,4913,,,0.07755616307258606,0.29946818947792053
41,4913,0.003569942433387041,0.060498155653476715,,
42,5030,,,0.07244906574487686,0.29008758068084717
42,5030,0.00394075782969594,0.06633502244949341,,
43,5147,,,0.07514247298240662,0.2942894995212555
43,5147,0.004083062056452036,0.0666426345705986,,
44,5264,,,0.0818575993180275,0.3142985701560974
44,5264,0.0033587319776415825,0.057848114520311356,,
45,5381,,,0.07380425930023193,0.29328909516334534
45,5381,0.003625944023951888,0.06070990487933159,,
46,5498,,,0.07087348401546478,0.2839479446411133
46,5498,0.003902470227330923,0.0650162622332573,,
