epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.6771600246429443,0.6479693651199341
0,116,0.8966286182403564,0.7306643128395081,,
1,233,,,0.5558943152427673,0.5619962215423584
1,233,0.6516964435577393,0.6126933693885803,,
2,350,,,0.41321054100990295,0.4762943983078003
2,350,0.497151255607605,0.5247154831886292,,
3,467,,,0.3545151650905609,0.45413848757743835
3,467,0.39563289284706116,0.4661128520965576,,
4,584,,,0.31370726227760315,0.43513548374176025
4,584,0.3134215772151947,0.4139254093170166,,
5,701,,,0.24769936501979828,0.3942630887031555
5,701,0.25046682357788086,0.36706623435020447,,
6,818,,,0.20904047787189484,0.3592412769794464
6,818,0.19913271069526672,0.3277961313724518,,
7,935,,,0.17537732422351837,0.3170205354690552
7,935,0.1725701242685318,0.3092530071735382,,
8,1052,,,0.14545954763889313,0.29625508189201355
8,1052,0.14644797146320343,0.2830388844013214,,
9,1169,,,0.16685959696769714,0.3090802729129791
9,1169,0.13446147739887238,0.27127766609191895,,
10,1286,,,0.1440110057592392,0.28926539421081543
10,1286,0.11705318093299866,0.25041404366493225,,
11,1403,,,0.15683040022850037,0.312185674905777
11,1403,0.10620180517435074,0.24188558757305145,,
12,1520,,,0.17622637748718262,0.31095969676971436
12,1520,0.1089329943060875,0.2451276034116745,,
13,1637,,,0.1360170692205429,0.28055477142333984
13,1637,0.10279247164726257,0.24113817512989044,,
14,1754,,,0.16026999056339264,0.28980422019958496
14,1754,0.09009233862161636,0.22398391366004944,,
15,1871,,,0.14046643674373627,0.28552913665771484
15,1871,0.08289095759391785,0.21490979194641113,,
16,1988,,,0.15253737568855286,0.30422621965408325
16,1988,0.07561934739351273,0.20568698644638062,,
17,2105,,,0.14264068007469177,0.27638548612594604
17,2105,0.07249104231595993,0.2013734132051468,,
18,2222,,,0.12927556037902832,0.274421364068985
18,2222,0.06860829889774323,0.19724853336811066,,
19,2339,,,0.16808393597602844,0.293576717376709
19,2339,0.06799069792032242,0.1967916190624237,,
20,2456,,,0.12237469106912613,0.2608620524406433
20,2456,0.06508960574865341,0.19137215614318848,,
21,2573,,,0.13134275376796722,0.27362388372421265
21,2573,0.0619015172123909,0.190213143825531,,
22,2690,,,0.1311066895723343,0.2663516700267792
22,2690,0.05933758616447449,0.1831871122121811,,
23,2807,,,0.1167042925953865,0.26622822880744934
23,2807,0.05806395411491394,0.18227045238018036,,
24,2924,,,0.13295598328113556,0.2720377445220947
24,2924,0.052366290241479874,0.1721038967370987,,
25,3041,,,0.12241107225418091,0.25831466913223267
25,3041,0.048627689480781555,0.1639905422925949,,
26,3158,,,0.12296712398529053,0.2585126459598541
26,3158,0.047524530440568924,0.1637117564678192,,
27,3275,,,0.12636281549930573,0.2627915143966675
27,3275,0.04086467623710632,0.15286019444465637,,
28,3392,,,0.13801097869873047,0.28739744424819946
28,3392,0.04673798009753227,0.16267049312591553,,
29,3509,,,0.13704316318035126,0.2672169804573059
29,3509,0.041437163949012756,0.15513072907924652,,
30,3626,,,0.11674121022224426,0.260765016078949
30,3626,0.03781244531273842,0.14539802074432373,,
31,3743,,,0.10467580705881119,0.24345025420188904
31,3743,0.03623921424150467,0.14437992870807648,,
32,3860,,,0.09891275316476822,0.23376034200191498
32,3860,0.033482786267995834,0.13626930117607117,,
33,3977,,,0.11519145220518112,0.24948015809059143
33,3977,0.03443045914173126,0.13960285484790802,,
34,4094,,,0.11237765848636627,0.24325813353061676
34,4094,0.030240744352340698,0.13212448358535767,,
35,4211,,,0.11679156124591827,0.2513986825942993
35,4211,0.0285116508603096,0.12835699319839478,,
36,4328,,,0.10791868716478348,0.2458210289478302
36,4328,0.02530510537326336,0.12004005163908005,,
37,4445,,,0.11581902951002121,0.251838356256485
37,4445,0.024217916652560234,0.11536923795938492,,
38,4562,,,0.10889524221420288,0.2511898875236511
38,4562,0.023774126544594765,0.1164761334657669,,
39,4679,,,0.10131637006998062,0.2357054203748703
39,4679,0.02396450750529766,0.11531873792409897,,
40,4796,,,0.09648548066616058,0.2317187488079071
40,4796,0.022618930786848068,0.11496361345052719,,
41,4913,,,0.10657770931720734,0.24647457897663116
41,4913,0.021764010190963745,0.11272246390581131,,
42,5030,,,0.10361333936452866,0.23735076189041138
42,5030,0.017555786296725273,0.09988276660442352,,
43,5147,,,0.10234978049993515,0.23433898389339447
43,5147,0.01894880272448063,0.10445211082696915,,
44,5264,,,0.09777092933654785,0.23185519874095917
44,5264,0.018034817650914192,0.10088781267404556,,
45,5381,,,0.11291875690221786,0.2525554597377777
45,5381,0.018607158213853836,0.10418710112571716,,
46,5498,,,0.09804174304008484,0.23190493881702423
46,5498,0.01843392103910446,0.09882356226444244,,
47,5615,,,0.09865269064903259,0.2388206571340561
47,5615,0.016941886395215988,0.09808231145143509,,
48,5732,,,0.09672223776578903,0.22974374890327454
48,5732,0.013993330299854279,0.08849430084228516,,
49,5849,,,0.10356353968381882,0.23601143062114716
49,5849,0.014194382354617119,0.08958792686462402,,
50,5966,,,0.09387713670730591,0.2261793166399002
50,5966,0.012745330110192299,0.08525659143924713,,
51,6083,,,0.09200232475996017,0.22602032124996185
51,6083,0.012426345609128475,0.08368776738643646,,
52,6200,,,0.10703538358211517,0.2369697540998459
52,6200,0.013130341656506062,0.0862232893705368,,
53,6317,,,0.1133590117096901,0.2501417100429535
53,6317,0.012177476659417152,0.08344727754592896,,
54,6434,,,0.09831438213586807,0.23096278309822083
54,6434,0.012179882265627384,0.08441753685474396,,
55,6551,,,0.1010747104883194,0.23704925179481506
55,6551,0.01190116535872221,0.08139880001544952,,
