epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.7471507787704468,0.6088744401931763
0,116,0.8728151917457581,0.6887950301170349,,
1,233,,,0.5866594314575195,0.5205472707748413
1,233,0.6685999631881714,0.5679745674133301,,
2,350,,,0.4735094904899597,0.46042755246162415
2,350,0.5263662934303284,0.4868960976600647,,
3,467,,,0.41745853424072266,0.4407823383808136
3,467,0.4172680079936981,0.4330188035964966,,
4,584,,,0.30104151368141174,0.36789190769195557
4,584,0.34463581442832947,0.40143096446990967,,
5,701,,,0.3366723656654358,0.4598138928413391
5,701,0.25373533368110657,0.3384525775909424,,
6,818,,,0.2704242765903473,0.39315521717071533
6,818,0.23651383817195892,0.33448177576065063,,
7,935,,,0.19055940210819244,0.3077753484249115
7,935,0.19103139638900757,0.30002331733703613,,
8,1052,,,0.19813604652881622,0.30631351470947266
8,1052,0.15520234405994415,0.2687087655067444,,
9,1169,,,0.18466094136238098,0.30678632855415344
9,1169,0.15583950281143188,0.2714187800884247,,
10,1286,,,0.21397428214550018,0.3535127639770508
10,1286,0.12812605500221252,0.2500765323638916,,
11,1403,,,0.16093984246253967,0.2854843735694885
11,1403,0.11308212578296661,0.23376181721687317,,
12,1520,,,0.1493767648935318,0.27719035744667053
12,1520,0.09925127774477005,0.22348162531852722,,
13,1637,,,0.13420404493808746,0.25755563378334045
13,1637,0.08576168864965439,0.2079988569021225,,
14,1754,,,0.1418086439371109,0.26690953969955444
14,1754,0.08413702994585037,0.20955950021743774,,
15,1871,,,0.15118791162967682,0.2590618133544922
15,1871,0.07598640769720078,0.19681385159492493,,
16,1988,,,0.16860215365886688,0.2949095070362091
16,1988,0.07861845940351486,0.202712282538414,,
17,2105,,,0.1546342670917511,0.27969056367874146
17,2105,0.06826849281787872,0.18973170220851898,,
18,2222,,,0.14616389572620392,0.2660858631134033
18,2222,0.06086523458361626,0.17741602659225464,,
19,2339,,,0.14270612597465515,0.2722879946231842
19,2339,0.05472062528133392,0.17058801651000977,,
20,2456,,,0.13202644884586334,0.25805673003196716
20,2456,0.058982979506254196,0.1777658313512802,,
21,2573,,,0.1289484202861786,0.25923410058021545
21,2573,0.04879508912563324,0.16213887929916382,,
22,2690,,,0.13243511319160461,0.2605054974555969
22,2690,0.04792488366365433,0.15917406976222992,,
23,2807,,,0.1248888224363327,0.24755197763442993
23,2807,0.05102977529168129,0.16330444812774658,,
24,2924,,,0.13473939895629883,0.2651557922363281
24,2924,0.04082348942756653,0.14661571383476257,,
25,3041,,,0.12385770678520203,0.24584031105041504
25,3041,0.03840862214565277,0.1397818922996521,,
26,3158,,,0.13610702753067017,0.2575601041316986
26,3158,0.03729607164859772,0.13965871930122375,,
27,3275,,,0.1297626942396164,0.24657657742500305
27,3275,0.03731147199869156,0.1410742700099945,,
28,3392,,,0.12110958993434906,0.23439638316631317
28,3392,0.03452484309673309,0.1362973004579544,,
29,3509,,,0.1242251768708229,0.25795361399650574
29,3509,0.030104996636509895,0.12706856429576874,,
30,3626,,,0.1310279369354248,0.2559770345687866
30,3626,0.03348918631672859,0.13296961784362793,,
31,3743,,,0.1458931267261505,0.2742956280708313
31,3743,0.03336780145764351,0.13198885321617126,,
32,3860,,,0.1242845356464386,0.2647576630115509
32,3860,0.030202200636267662,0.12631449103355408,,
33,3977,,,0.13775502145290375,0.2594243586063385
33,3977,0.026958178728818893,0.11889463663101196,,
34,4094,,,0.12980729341506958,0.2606102228164673
34,4094,0.025583134964108467,0.1175563856959343,,
35,4211,,,0.12126459181308746,0.25192031264305115
35,4211,0.023823123425245285,0.11363882571458817,,
36,4328,,,0.1398429274559021,0.25836193561553955
36,4328,0.02240140363574028,0.10733593255281448,,
37,4445,,,0.12808726727962494,0.2659589648246765
37,4445,0.026761168614029884,0.11519869416952133,,
38,4562,,,0.12997554242610931,0.24312253296375275
38,4562,0.023415854200720787,0.11116889119148254,,
39,4679,,,0.14404995739459991,0.2559717893600464
39,4679,0.022398866713047028,0.10896812379360199,,
40,4796,,,0.13264256715774536,0.25867602229118347
40,4796,0.02288220450282097,0.10823187232017517,,
41,4913,,,0.11204161494970322,0.23504748940467834
41,4913,0.021014504134655,0.10553032904863358,,
42,5030,,,0.13002896308898926,0.2548182010650635
42,5030,0.01755824312567711,0.09518469870090485,,
43,5147,,,0.10750000923871994,0.22844469547271729
43,5147,0.016348160803318024,0.09196610748767853,,
44,5264,,,0.11653539538383484,0.2354477047920227
44,5264,0.018060915172100067,0.09600619971752167,,
45,5381,,,0.11688456684350967,0.23921455442905426
45,5381,0.01687713898718357,0.09429533779621124,,
46,5498,,,0.12868258357048035,0.24339565634727478
46,5498,0.017166009172797203,0.09497921168804169,,
47,5615,,,0.11539091914892197,0.23347118496894836
47,5615,0.014572574757039547,0.08807709813117981,,
48,5732,,,0.09970466792583466,0.22577770054340363
48,5732,0.018582414835691452,0.09895280003547668,,
49,5849,,,0.1298370510339737,0.2396608293056488
49,5849,0.014937245287001133,0.0874558836221695,,
50,5966,,,0.1125345304608345,0.24523702263832092
50,5966,0.013397840782999992,0.08152812719345093,,
51,6083,,,0.11589176207780838,0.23412509262561798
51,6083,0.014430386014282703,0.08651404827833176,,
52,6200,,,0.10923599451780319,0.2371196299791336
52,6200,0.012356612831354141,0.08014027029275894,,
53,6317,,,0.11699967086315155,0.23682528734207153
53,6317,0.013265520334243774,0.08300835639238358,,
54,6434,,,0.116654172539711,0.23403403162956238
54,6434,0.011549606919288635,0.07625190913677216,,
55,6551,,,0.11975856125354767,0.24884815514087677
55,6551,0.012339675799012184,0.08126145601272583,,
56,6668,,,0.11926768720149994,0.2420273721218109
56,6668,0.010916884057223797,0.07515756785869598,,
57,6785,,,0.11022427678108215,0.24246102571487427
57,6785,0.011929039843380451,0.07746488600969315,,
58,6902,,,0.12067192047834396,0.23483885824680328
58,6902,0.011579735204577446,0.07760041207075119,,
59,7019,,,0.13105350732803345,0.24067215621471405
59,7019,0.010320698842406273,0.07264498621225357,,
