epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.2989734709262848,0.6365377306938171
0,116,0.34620797634124756,0.6915101408958435,,
1,233,,,0.2465900182723999,0.5658696293830872
1,233,0.23307134211063385,0.5461943745613098,,
2,350,,,0.18336088955402374,0.4807737469673157
2,350,0.16289205849170685,0.44428935647010803,,
3,467,,,0.1581128090620041,0.4438824951648712
3,467,0.11518147587776184,0.3654289245605469,,
4,584,,,0.17878182232379913,0.4761306345462799
4,584,0.08359126001596451,0.30487334728240967,,
5,701,,,0.15517820417881012,0.4422049820423126
5,701,0.06514512002468109,0.2656121850013733,,
6,818,,,0.109047070145607,0.36649179458618164
6,818,0.04913359880447388,0.22573624551296234,,
7,935,,,0.14136698842048645,0.41755080223083496
7,935,0.041636209934949875,0.20634637773036957,,
8,1052,,,0.11128786206245422,0.3727933466434479
8,1052,0.031160153448581696,0.17722336947917938,,
9,1169,,,0.09984976798295975,0.3503265678882599
9,1169,0.025421643629670143,0.16040854156017303,,
10,1286,,,0.13271845877170563,0.4081675708293915
10,1286,0.01954069919884205,0.13941039144992828,,
11,1403,,,0.10018088668584824,0.34991759061813354
11,1403,0.018358277156949043,0.13843464851379395,,
12,1520,,,0.0876360759139061,0.32513830065727234
12,1520,0.01485898345708847,0.12205126881599426,,
13,1637,,,0.10334093868732452,0.35532480478286743
13,1637,0.013305292464792728,0.11559451371431351,,
14,1754,,,0.12388169765472412,0.3826500475406647
14,1754,0.01115970779210329,0.10521921515464783,,
15,1871,,,0.09309594333171844,0.33475419878959656
15,1871,0.010577782988548279,0.10143809765577316,,
16,1988,,,0.09256807714700699,0.3328721225261688
16,1988,0.009530366398394108,0.09678829461336136,,
17,2105,,,0.07983803749084473,0.30881595611572266
17,2105,0.007845544256269932,0.08641406148672104,,
18,2222,,,0.09321823716163635,0.3361390233039856
18,2222,0.007185091730207205,0.08167075365781784,,
19,2339,,,0.10262472182512283,0.352536678314209
19,2339,0.00611762423068285,0.07625585049390793,,
20,2456,,,0.10564224421977997,0.36012572050094604
20,2456,0.006312489043921232,0.07854172587394714,,
21,2573,,,0.07851807773113251,0.3080945611000061
21,2573,0.006549294106662273,0.08068615198135376,,
22,2690,,,0.08090994507074356,0.3133317232131958
22,2690,0.005359720904380083,0.07054334133863449,,
23,2807,,,0.09298311173915863,0.3404202163219452
23,2807,0.00566978519782424,0.07423986494541168,,
24,2924,,,0.10778976231813431,0.3659417927265167
24,2924,0.005103340372443199,0.06903822720050812,,
25,3041,,,0.07970495522022247,0.31452009081840515
25,3041,0.006405397783964872,0.08035425841808319,,
26,3158,,,0.13254599273204803,0.40678223967552185
26,3158,0.005924346391111612,0.07391080260276794,,
27,3275,,,0.08131442964076996,0.31426241993904114
27,3275,0.004921163897961378,0.06958085298538208,,
28,3392,,,0.08537860959768295,0.3202589154243469
28,3392,0.0050292895175516605,0.06880758702754974,,
29,3509,,,0.0931825116276741,0.3343638777732849
29,3509,0.00481883529573679,0.06833919137716293,,
30,3626,,,0.08056854456663132,0.3146701157093048
30,3626,0.004253233317285776,0.06494278460741043,,
31,3743,,,0.08471187204122543,0.3204745352268219
31,3743,0.0046770572662353516,0.06961028277873993,,
32,3860,,,0.08607738465070724,0.32395946979522705
32,3860,0.0038725698832422495,0.061522360891103745,,
33,3977,,,0.07200254499912262,0.29594749212265015
33,3977,0.004240614827722311,0.0655529573559761,,
34,4094,,,0.10786811262369156,0.36131468415260315
34,4094,0.004398352932184935,0.06809902936220169,,
35,4211,,,0.08329104632139206,0.3184465169906616
35,4211,0.00415967870503664,0.06546033173799515,,
36,4328,,,0.0855805054306984,0.3275292217731476
36,4328,0.0036345890257507563,0.06060568243265152,,
37,4445,,,0.08386295288801193,0.3191252052783966
37,4445,0.003974218852818012,0.06371469795703888,,
38,4562,,,0.0966910570859909,0.3480241596698761
38,4562,0.0034990638960152864,0.05952739343047142,,
39,4679,,,0.07227165997028351,0.2933380603790283
39,4679,0.0033885359298437834,0.05885621905326843,,
40,4796,,,0.08710785210132599,0.32734471559524536
40,4796,0.0038993072230368853,0.06416995078325272,,
41,4913,,,0.09776745736598969,0.3446824848651886
41,4913,0.00355059327557683,0.06114833056926727,,
42,5030,,,0.08071362972259521,0.31760096549987793
42,5030,0.0033141286112368107,0.059395428746938705,,
43,5147,,,0.10161261260509491,0.35207071900367737
43,5147,0.0030634261202067137,0.05660770460963249,,
44,5264,,,0.07678598910570145,0.30637985467910767
44,5264,0.002660638652741909,0.05367911607027054,,
45,5381,,,0.08970136195421219,0.3336698114871979
45,5381,0.003630672348663211,0.06312651187181473,,
46,5498,,,0.07840901613235474,0.30860447883605957
46,5498,0.004020143300294876,0.06521180272102356,,
47,5615,,,0.07931452989578247,0.3092900216579437
47,5615,0.0039326706901192665,0.06510349363088608,,
48,5732,,,0.09119626134634018,0.33647671341896057
48,5732,0.004161356948316097,0.06573335081338882,,
49,5849,,,0.09059906005859375,0.33277395367622375
49,5849,0.003763240296393633,0.06354865431785583,,
50,5966,,,0.08246324211359024,0.3196752369403839
50,5966,0.003302002791315317,0.058895520865917206,,
51,6083,,,0.07227631658315659,0.2940783202648163
51,6083,0.0036453010980039835,0.061020273715257645,,
52,6200,,,0.07162442803382874,0.29557058215141296
52,6200,0.005023462697863579,0.07297370582818985,,
53,6317,,,0.06845776736736298,0.29257431626319885
53,6317,0.0038657437544316053,0.06421764194965363,,
54,6434,,,0.07276400923728943,0.29669874906539917
54,6434,0.0025669694878160954,0.052619513124227524,,
55,6551,,,0.07049348205327988,0.2937481701374054
55,6551,0.002299059648066759,0.05016053840517998,,
56,6668,,,0.0926896259188652,0.33627402782440186
56,6668,0.0016539543867111206,0.04111967608332634,,
57,6785,,,0.07796818017959595,0.3068774938583374
57,6785,0.0012951131211593747,0.03541436418890953,,
58,6902,,,0.0670575276017189,0.290011465549469
58,6902,0.0021121010649949312,0.04836062341928482,,
59,7019,,,0.07884088903665543,0.31122851371765137
59,7019,0.0020877509377896786,0.04674583673477173,,
60,7136,,,0.07710453867912292,0.3064139783382416
60,7136,0.0028127299156039953,0.05502400919795036,,
61,7253,,,0.08679160475730896,0.3346054255962372
61,7253,0.0029425707180052996,0.05600553750991821,,
62,7370,,,0.08555275946855545,0.3215119540691376
62,7370,0.0034617504570633173,0.0642237439751625,,
63,7487,,,0.07157813757658005,0.2958768308162689
63,7487,0.002859418746083975,0.05797351896762848,,
64,7604,,,0.10576251149177551,0.363781601190567
64,7604,0.0018709120340645313,0.045940227806568146,,
65,7721,,,0.06860268115997314,0.2928204834461212
65,7721,0.0018159706378355622,0.04511130228638649,,
66,7838,,,0.07334543764591217,0.3023354113101959
66,7838,0.0019430165411904454,0.047504037618637085,,
67,7955,,,0.07735860347747803,0.30706602334976196
67,7955,0.0027648680843412876,0.05686839669942856,,
68,8072,,,0.07963471859693527,0.313310831785202
68,8072,0.0025184445548802614,0.054298412054777145,,
69,8189,,,0.07870570570230484,0.31074270606040955
69,8189,0.0015562811167910695,0.0419791080057621,,
70,8306,,,0.06932377815246582,0.2910827100276947
70,8306,0.0006888540810905397,0.026974929496645927,,
71,8423,,,0.0707302838563919,0.2932853102684021
71,8423,0.0003794105723500252,0.019079159945249557,,
72,8540,,,0.07347945123910904,0.29925069212913513
72,8540,0.0002506887831259519,0.014577646739780903,,
73,8657,,,0.06912591308355331,0.2894842326641083
73,8657,0.00019488348334562033,0.01206155028194189,,
74,8774,,,0.0668955147266388,0.2851870656013489
74,8774,0.00015672403969801962,0.01008231844753027,,
75,8891,,,0.07299529761075974,0.2976856827735901
75,8891,0.00013856473378837109,0.009170412085950375,,
76,9008,,,0.09682098031044006,0.34691712260246277
76,9008,0.0001202050261781551,0.00811859779059887,,
77,9125,,,0.06601251661777496,0.28400832414627075
77,9125,0.00010540905350353569,0.007230367511510849,,
78,9242,,,0.08401176333427429,0.3205813467502594
78,9242,9.803428838495165e-05,0.0069296290166676044,,
79,9359,,,0.06804727017879486,0.287885457277298
79,9359,8.796373731456697e-05,0.006342384498566389,,
80,9476,,,0.06931858509778976,0.29079675674438477
80,9476,8.81648957147263e-05,0.006614012643694878,,
81,9593,,,0.06677642464637756,0.2855529487133026
81,9593,9.571520058671013e-05,0.007374385837465525,,
82,9710,,,0.06750760972499847,0.2886364758014679
82,9710,0.0001068039346137084,0.00866005290299654,,
83,9827,,,0.07461947202682495,0.29993265867233276
83,9827,0.00019530764257069677,0.013528778217732906,,
84,9944,,,0.06964483112096786,0.2894335985183716
84,9944,0.0004946234985254705,0.023701908066868782,,
85,10061,,,0.07117755711078644,0.291951447725296
85,10061,0.0011289988178759813,0.035490453243255615,,
86,10178,,,0.07789178192615509,0.30716320872306824
86,10178,0.0011697305599227548,0.034609097987413406,,
87,10295,,,0.08665385842323303,0.3244151473045349
87,10295,0.001898794318549335,0.04571816697716713,,
88,10412,,,0.07095792889595032,0.2897607386112213
88,10412,0.0018717346247285604,0.04612645134329796,,
89,10529,,,0.0888715609908104,0.33165839314460754
89,10529,0.0009036999545060098,0.0322636179625988,,
90,10646,,,0.07313220202922821,0.29734715819358826
90,10646,0.0005508485483005643,0.02519933506846428,,
91,10763,,,0.07044631987810135,0.2927415072917938
91,10763,0.00023246041382662952,0.015714343637228012,,
92,10880,,,0.0673084557056427,0.28584718704223633
92,10880,0.00011254541459493339,0.01068473607301712,,
93,10997,,,0.07319887727499008,0.29741430282592773
93,10997,7.901613571448252e-05,0.008529206737875938,,
94,11114,,,0.07011324912309647,0.2914993464946747
94,11114,5.8654346503317356e-05,0.006990534253418446,,
95,11231,,,0.07358849793672562,0.29897019267082214
95,11231,5.004948252462782e-05,0.006210670340806246,,
96,11348,,,0.07961580902338028,0.3107651174068451
96,11348,4.069416900165379e-05,0.005310089327394962,,
97,11465,,,0.07148849964141846,0.2948159873485565
97,11465,3.428295167395845e-05,0.0045824795961380005,,
98,11582,,,0.07651669532060623,0.30548176169395447
98,11582,3.0947470804676414e-05,0.004287765361368656,,
99,11699,,,0.07146087288856506,0.2946244478225708
99,11699,2.7418367608333938e-05,0.0038629004266113043,,
100,11816,,,0.07112487405538559,0.2937563359737396
100,11816,2.4179247702704743e-05,0.0034494823776185513,,
101,11933,,,0.0707990825176239,0.2929244041442871
101,11933,2.0966203010175377e-05,0.003001442877575755,,
102,12050,,,0.07094136625528336,0.2934926152229309
102,12050,1.9553750462364405e-05,0.0028742155991494656,,
103,12167,,,0.07092077285051346,0.29415690898895264
103,12167,1.8894465029006824e-05,0.0028817777056246996,,
104,12284,,,0.07322075963020325,0.29717111587524414
104,12284,2.08644378290046e-05,0.003529180772602558,,
105,12401,,,0.07288162410259247,0.2979693114757538
105,12401,1.7955977455130778e-05,0.003095925087109208,,
106,12518,,,0.06722233444452286,0.28574925661087036
106,12518,2.0372990547912195e-05,0.003609847277402878,,
107,12635,,,0.08578604459762573,0.3242500126361847
107,12635,2.5100507627939805e-05,0.004425011109560728,,
108,12752,,,0.07077714055776596,0.29395753145217896
108,12752,3.246836058679037e-05,0.005442545749247074,,
109,12869,,,0.07014968991279602,0.29218918085098267
109,12869,4.5417251385515556e-05,0.006928171031177044,,
110,12986,,,0.07017648220062256,0.29117849469184875
110,12986,0.00014163207379169762,0.012698876671493053,,
111,13103,,,0.0701998621225357,0.2912190854549408
111,13103,0.0003251216548960656,0.019717780873179436,,
112,13220,,,0.07658329606056213,0.3049902319908142
112,13220,0.00047296180855482817,0.023884348571300507,,
113,13337,,,0.07080583274364471,0.2921563982963562
113,13337,0.0003571637498680502,0.020297707989811897,,
114,13454,,,0.06497427821159363,0.28256264328956604
114,13454,0.0002479776449035853,0.016841357573866844,,
115,13571,,,0.09366579353809357,0.3403284251689911
115,13571,0.00019493095169309527,0.014927471056580544,,
116,13688,,,0.06961344927549362,0.29067540168762207
116,13688,0.00016859924653545022,0.013823498971760273,,
117,13805,,,0.06978176534175873,0.2903733253479004
117,13805,7.471779099432752e-05,0.009001308120787144,,
118,13922,,,0.07507199794054031,0.3026558756828308
118,13922,3.188343907822855e-05,0.005852275062352419,,
119,14039,,,0.0791647657752037,0.31068333983421326
119,14039,1.8562792320153676e-05,0.00426499405875802,,
120,14156,,,0.06743702292442322,0.28646406531333923
120,14156,1.4513256246573292e-05,0.0037858146242797375,,
121,14273,,,0.0662609413266182,0.28419315814971924
121,14273,9.503060937277041e-06,0.0028240408282727003,,
122,14390,,,0.076192706823349,0.3046090304851532
122,14390,8.143670129356906e-06,0.0025664137210696936,,
123,14507,,,0.07592517882585526,0.3028099536895752
123,14507,6.512084382848116e-06,0.0021423217840492725,,
124,14624,,,0.07054919749498367,0.2938472032546997
124,14624,5.566853360505775e-06,0.0019020546460524201,,
125,14741,,,0.07640200108289719,0.3041401207447052
125,14741,4.95675703859888e-06,0.0017135952366515994,,
126,14858,,,0.07867027074098587,0.30914488434791565
126,14858,4.448743766261032e-06,0.0015794882783666253,,
127,14975,,,0.07322852313518524,0.29948726296424866
127,14975,3.962404207413783e-06,0.0014516586670652032,,
128,15092,,,0.07134254276752472,0.2941194176673889
128,15092,3.820136953436304e-06,0.0014742787461727858,,
129,15209,,,0.06641560792922974,0.28440937399864197
129,15209,3.8478874557767995e-06,0.0015509409131482244,,
130,15326,,,0.0696260929107666,0.2896677851676941
130,15326,3.682834176288452e-06,0.0015356224030256271,,
131,15443,,,0.06823821365833282,0.2875443398952484
131,15443,4.060648734593997e-06,0.0017630687216296792,,
132,15560,,,0.07350756973028183,0.29786449670791626
