epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.337908536195755,0.6899175047874451
0,116,0.36544692516326904,0.7232728004455566,,
1,233,,,0.27129217982292175,0.5978856086730957
1,233,0.25866344571113586,0.5864943265914917,,
2,350,,,0.20565980672836304,0.51597660779953
2,350,0.18416249752044678,0.4816998243331909,,
3,467,,,0.16752395033836365,0.4605199098587036
3,467,0.13515910506248474,0.40488582849502563,,
4,584,,,0.14811484515666962,0.42653530836105347
4,584,0.1033438891172409,0.34736907482147217,,
5,701,,,0.1286461502313614,0.39553573727607727
5,701,0.07672206312417984,0.29204148054122925,,
6,818,,,0.11848492175340652,0.3821602761745453
6,818,0.05845804139971733,0.2536243200302124,,
7,935,,,0.10882643610239029,0.3680609464645386
7,935,0.04373440518975258,0.2174055278301239,,
8,1052,,,0.1185518130660057,0.3774018883705139
8,1052,0.03388813138008118,0.1900608390569687,,
9,1169,,,0.10006548464298248,0.3497893810272217
9,1169,0.029434341937303543,0.1779274046421051,,
10,1286,,,0.09685782343149185,0.3421274721622467
10,1286,0.022703057155013084,0.15244603157043457,,
11,1403,,,0.12677046656608582,0.39268699288368225
11,1403,0.01844705268740654,0.13674473762512207,,
12,1520,,,0.12700535356998444,0.39233916997909546
12,1520,0.01516612246632576,0.11995956301689148,,
13,1637,,,0.0949287861585617,0.33690309524536133
13,1637,0.014978732913732529,0.11997611075639725,,
14,1754,,,0.09001176804304123,0.3293355405330658
14,1754,0.012069719843566418,0.10721155256032944,,
15,1871,,,0.10220340639352798,0.35054510831832886
15,1871,0.009742925874888897,0.09458775818347931,,
16,1988,,,0.09334196895360947,0.3338909149169922
16,1988,0.009091716259717941,0.09119075536727905,,
17,2105,,,0.11500344425439835,0.3764016926288605
17,2105,0.00826225895434618,0.08530224114656448,,
18,2222,,,0.12059103697538376,0.38312429189682007
18,2222,0.007136113941669464,0.07958769798278809,,
19,2339,,,0.10183896124362946,0.35181862115859985
19,2339,0.008027282543480396,0.08542092144489288,,
20,2456,,,0.1126222088932991,0.37103065848350525
20,2456,0.006647923495620489,0.0767461508512497,,
21,2573,,,0.13875973224639893,0.410916805267334
21,2573,0.006675586104393005,0.07547444105148315,,
22,2690,,,0.09626010805368423,0.3411940038204193
22,2690,0.006415446754544973,0.07802049815654755,,
23,2807,,,0.1034940779209137,0.35352620482444763
23,2807,0.005489439237862825,0.06809768825769424,,
24,2924,,,0.08935397863388062,0.3284870982170105
24,2924,0.00495548639446497,0.06669667363166809,,
25,3041,,,0.10914795100688934,0.36577609181404114
25,3041,0.004540799185633659,0.06295978277921677,,
26,3158,,,0.12190913408994675,0.3856726884841919
26,3158,0.005394568666815758,0.07013489305973053,,
27,3275,,,0.09717357903718948,0.3409670889377594
27,3275,0.004733859561383724,0.06522029638290405,,
28,3392,,,0.0877305194735527,0.32412251830101013
28,3392,0.004206608049571514,0.06009725108742714,,
29,3509,,,0.10441494733095169,0.35656261444091797
29,3509,0.0037423535250127316,0.05798825994133949,,
30,3626,,,0.09540356695652008,0.33838149905204773
