epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.35906049609184265,0.7129003405570984
0,116,0.3785179853439331,0.7381516695022583,,
1,233,,,0.26485002040863037,0.5847795009613037
1,233,0.2854212522506714,0.6249911189079285,,
2,350,,,0.18210850656032562,0.4783094823360443
2,350,0.18944409489631653,0.484607994556427,,
3,467,,,0.13871780037879944,0.4086778163909912
3,467,0.12383218109607697,0.37903186678886414,,
4,584,,,0.12129991501569748,0.3829509913921356
4,584,0.09338099509477615,0.3238062858581543,,
5,701,,,0.10883049666881561,0.35265421867370605
5,701,0.07296068221330643,0.28442928194999695,,
6,818,,,0.09426818788051605,0.3263353705406189
6,818,0.05668048933148384,0.24581606686115265,,
7,935,,,0.08947324007749557,0.3156973421573639
7,935,0.04327978193759918,0.21525652706623077,,
8,1052,,,0.08092669397592545,0.29789528250694275
8,1052,0.03312035650014877,0.18510141968727112,,
9,1169,,,0.07550094276666641,0.2899450957775116
9,1169,0.026930632069706917,0.16506433486938477,,
10,1286,,,0.08154775947332382,0.3046223521232605
10,1286,0.02195100113749504,0.14919617772102356,,
11,1403,,,0.07244648784399033,0.28115203976631165
11,1403,0.019433604553341866,0.13872891664505005,,
12,1520,,,0.0712667927145958,0.28324809670448303
12,1520,0.016017185524106026,0.1250559687614441,,
13,1637,,,0.06863270699977875,0.2769954800605774
13,1637,0.013768844306468964,0.1151408851146698,,
14,1754,,,0.06915786862373352,0.2723625600337982
14,1754,0.012804539874196053,0.11039002984762192,,
15,1871,,,0.06885659694671631,0.28016719222068787
15,1871,0.01130338478833437,0.0994788259267807,,
16,1988,,,0.06590206176042557,0.27128562331199646
16,1988,0.010286815464496613,0.09507299214601517,,
17,2105,,,0.06780268996953964,0.27594152092933655
17,2105,0.01015371736139059,0.0964072123169899,,
18,2222,,,0.06864164769649506,0.27870380878448486
18,2222,0.007977076806128025,0.08269213140010834,,
19,2339,,,0.06811825931072235,0.2758077383041382
19,2339,0.006977556273341179,0.07832004874944687,,
20,2456,,,0.06567144393920898,0.26959601044654846
20,2456,0.006977646611630917,0.0768328607082367,,
21,2573,,,0.07290177792310715,0.2844306230545044
21,2573,0.006093521602451801,0.07183944433927536,,
22,2690,,,0.06763607263565063,0.2737378180027008
22,2690,0.006843036040663719,0.0780024304986,,
23,2807,,,0.06668877601623535,0.2745961546897888
23,2807,0.006332650780677795,0.07446929812431335,,
24,2924,,,0.06975856423377991,0.2799947261810303
24,2924,0.0069235339760780334,0.08092746883630753,,
25,3041,,,0.06621760874986649,0.2719162404537201
25,3041,0.005870961118489504,0.07224748283624649,,
26,3158,,,0.06767476350069046,0.2765573263168335
26,3158,0.005322341341525316,0.0681065171957016,,
27,3275,,,0.0660758689045906,0.272586852312088
27,3275,0.005298668518662453,0.06846531480550766,,
28,3392,,,0.06555765867233276,0.2717992663383484
28,3392,0.005777577869594097,0.07370686531066895,,
29,3509,,,0.06919116526842117,0.27964720129966736
29,3509,0.00462761428207159,0.0641329288482666,,
30,3626,,,0.06374448537826538,0.2702743709087372
30,3626,0.0035582955460995436,0.05301797389984131,,
31,3743,,,0.06384355574846268,0.2685820162296295
31,3743,0.0033281189389526844,0.0511079803109169,,
32,3860,,,0.06734547019004822,0.27122604846954346
32,3860,0.003377399640157819,0.052734389901161194,,
33,3977,,,0.06664334237575531,0.2717808485031128
33,3977,0.003673950210213661,0.056757595390081406,,
34,4094,,,0.0647454559803009,0.2669695019721985
34,4094,0.004379874095320702,0.06438100337982178,,
35,4211,,,0.06871689856052399,0.2724333703517914
35,4211,0.003890136955305934,0.06043213605880737,,
36,4328,,,0.06226439028978348,0.26448264718055725
36,4328,0.0038122418336570263,0.06040710210800171,,
37,4445,,,0.06663493067026138,0.2721807658672333
37,4445,0.002859131433069706,0.05175450071692467,,
38,4562,,,0.06706263870000839,0.275229275226593
38,4562,0.003481075633317232,0.05911552906036377,,
39,4679,,,0.061958104372024536,0.2653803527355194
39,4679,0.004041227046400309,0.0643918514251709,,
40,4796,,,0.06547554582357407,0.2718145549297333
40,4796,0.00381674338132143,0.06274496018886566,,
41,4913,,,0.060727931559085846,0.2616167664527893
41,4913,0.0037851210217922926,0.061626166105270386,,
42,5030,,,0.06024246662855148,0.2605372965335846
42,5030,0.0037665122654289007,0.06322897225618362,,
43,5147,,,0.0671205073595047,0.2721484303474426
43,5147,0.003291577333584428,0.05787243694067001,,
44,5264,,,0.06241302937269211,0.26527494192123413
44,5264,0.0034232442267239094,0.06111801043152809,,
45,5381,,,0.06497661769390106,0.2725820243358612
45,5381,0.0029228520579636097,0.05601814389228821,,
46,5498,,,0.058792680501937866,0.2570759952068329
46,5498,0.003571764100342989,0.06252911686897278,,
47,5615,,,0.05943428352475166,0.26269230246543884
47,5615,0.002962930593639612,0.055450692772865295,,
48,5732,,,0.06342677772045135,0.26760509610176086
48,5732,0.0028668297454714775,0.05581260100007057,,
49,5849,,,0.060936253517866135,0.26556262373924255
49,5849,0.001751886447891593,0.041728340089321136,,
50,5966,,,0.05985899642109871,0.26089388132095337
50,5966,0.0008349763811565936,0.02576744183897972,,
51,6083,,,0.06050468981266022,0.26174598932266235
51,6083,0.000561413005925715,0.019279835745692253,,
52,6200,,,0.06065394729375839,0.2606610655784607
52,6200,0.0004500974901020527,0.015615646727383137,,
53,6317,,,0.059148650616407394,0.25998422503471375
53,6317,0.0003835605166386813,0.013487163931131363,,
