epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.23010417819023132,0.5388065576553345
0,116,0.2904624044895172,0.6214573383331299,,
1,233,,,0.139877051115036,0.3809110224246979
1,233,0.18193399906158447,0.45846307277679443,,
2,350,,,0.0933205708861351,0.3106539845466614
2,350,0.1119900494813919,0.3380363881587982,,
3,467,,,0.0772910788655281,0.28835952281951904
3,467,0.07725117355585098,0.2882433533668518,,
4,584,,,0.053460437804460526,0.23559246957302094
4,584,0.056236382573843,0.24734096229076385,,
5,701,,,0.0535031259059906,0.2207299917936325
5,701,0.04161250591278076,0.20707301795482635,,
6,818,,,0.03669797256588936,0.17956052720546722
6,818,0.03242474049329758,0.17574650049209595,,
7,935,,,0.03473104536533356,0.16807842254638672
7,935,0.027004418894648552,0.155046746134758,,
8,1052,,,0.02868424542248249,0.15073347091674805
8,1052,0.022577019408345222,0.13809454441070557,,
9,1169,,,0.029469551518559456,0.14561742544174194
9,1169,0.019884465262293816,0.12592174112796783,,
10,1286,,,0.024625645950436592,0.13383574783802032
10,1286,0.017547976225614548,0.1158105656504631,,
11,1403,,,0.023131033405661583,0.1273794174194336
11,1403,0.015682151541113853,0.10771257430315018,,
12,1520,,,0.03348094969987869,0.14645370841026306
12,1520,0.014332468621432781,0.10169708728790283,,
13,1637,,,0.02695101872086525,0.13280551135540009
13,1637,0.013124738819897175,0.09634463489055634,,
14,1754,,,0.020958255976438522,0.11688248813152313
14,1754,0.012366659939289093,0.09286604076623917,,
15,1871,,,0.02165028266608715,0.1159740686416626
15,1871,0.011553138494491577,0.08916839212179184,,
16,1988,,,0.021674267947673798,0.1170717403292656
16,1988,0.010827915742993355,0.08631383627653122,,
17,2105,,,0.02076363004744053,0.1139056384563446
17,2105,0.010472206398844719,0.08465215563774109,,
18,2222,,,0.018966978415846825,0.10862832516431808
18,2222,0.009643741883337498,0.08133825659751892,,
19,2339,,,0.01910417713224888,0.1096818819642067
19,2339,0.00934026762843132,0.08016017079353333,,
20,2456,,,0.022136395797133446,0.1164531335234642
20,2456,0.008970576338469982,0.07865831255912781,,
21,2573,,,0.020005246624350548,0.11049795150756836
21,2573,0.008507322520017624,0.07626019418239594,,
22,2690,,,0.020078135654330254,0.10997967422008514
22,2690,0.008188835345208645,0.07517345994710922,,
23,2807,,,0.019167562946677208,0.10810370743274689
23,2807,0.007864725776016712,0.07385745644569397,,
24,2924,,,0.018371885642409325,0.10444457083940506
24,2924,0.007527575828135014,0.07248271256685257,,
25,3041,,,0.019184846431016922,0.1053444966673851
25,3041,0.007332200650125742,0.07140731066465378,,
26,3158,,,0.020278317853808403,0.10996053367853165
26,3158,0.006937655620276928,0.06980916112661362,,
27,3275,,,0.019345996901392937,0.1064949631690979
27,3275,0.006791967898607254,0.06939512491226196,,
28,3392,,,0.019400643184781075,0.10780112445354462
28,3392,0.0065921759232878685,0.06824000179767609,,
29,3509,,,0.02007961831986904,0.10967490822076797
29,3509,0.006210119929164648,0.06673072278499603,,
30,3626,,,0.024406520649790764,0.1208251342177391
30,3626,0.006038071122020483,0.06566113978624344,,
31,3743,,,0.018883896991610527,0.10267781466245651
31,3743,0.005875013768672943,0.0649440661072731,,
32,3860,,,0.01978529617190361,0.10851121693849564
32,3860,0.005654521286487579,0.06350763142108917,,
